Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
,,,,,,,,
2023-12-15,,,,,,,,
Eryth,55.634,,19.708,21,3.165,0,55.634,0
FUCK_AMQ,36.957,,24.908,5,3.706,0,36.957,0
watashiiit,34.783,,23.629,4,3.75,0,34.783,0
isabella,28.986,,25.869,2,4.025,0,28.986,0
MrWolf,19.718,,24.139,1,4.429,0,19.718,0
Cania,7.246,,34.957,1,5.2,0,7.246,0
,,,,,,,,
2024-03-18,,,,,,,,
Sniparook,60.55,,24.305,13,3.697,0,60.55,0
asleep,49.123,,27.908,1,4.446,0,49.123,0
SUS_DOMESTICUS,44.762,,23.922,7,3.511,0,44.762,0
Chata,42.373,,29.101,4,4.3,0,42.373,0
Ariabl_eyeS,38.636,,22.917,7,3.529,0,38.636,0
KSANTE4700HP,38.596,,31.245,2,4.841,0,38.596,0
Rissa,37.615,,28.441,2,4.537,0,37.615,0
watashiii,35.965,,29.143,3,4.707,0,35.965,0
Chistoso,34.091,,28.988,5,3.933,0,34.091,0
YurineKurosawa,33.051,,33.239,1,5,0,33.051,0
mkby,32.955,,27.018,2,4.31,0,32.955,0
uomi,32.11,,27.197,3,4.629,0,32.11,0
isabella,30.682,,26.319,0,4.37,0,30.682,0
MrWolf,29.545,,30.859,4,4.231,0,29.545,0
JuliAless64,29.545,,32.116,1,4.692,0,29.545,0
doomchicken,28.814,,32.128,2,4.588,0,28.814,0
Alkios,28.571,,27.104,3,4.3,0,28.571,0
PulseVorteX,25.714,,28.166,2,4.222,0,25.714,0
Zeal_Kido,21.591,,29.377,3,4.684,0,21.591,0
SaikiChan,20.455,,35.988,0,5.111,0,20.455,0
BigSmo,17.797,,40.151,0,5.571,0,17.797,0
Kiishua,15.238,,35.407,0,4.938,0,15.238,0
yasashiikumo,13.761,,34.09,0,5.133,0,13.761,0
,,,,,,,,
2024-04-01,,,,,,,,
MikasaAckerman,63.265,,22.773,14,3.785,0,63.265,0
Diukes,60.741,,23.117,10,3.744,0,60.741,0
Tsui,45.926,,25.544,2,4.21,0,45.926,0
Thaleko,42.857,,28.678,4,4.619,0,42.857,0
Sjoe,41.317,,22.808,6,3.913,0,41.317,0
KSANTE4700HP,40.708,,26.986,1,4.196,0,40.708,0
PulseVorteX,37.778,,24.569,5,4.039,0,37.778,0
SakurabaRola,35.398,,31.002,1,4.525,0,35.398,0
Alkios,32.335,,25.601,0,4.574,0,32.335,0
GabrielaRobin,31.973,,30.52,4,4.957,0,31.973,0
SaikiChan,30.088,,28.294,2,4.353,0,30.088,0
Zeal_Kido,29.341,,25.433,2,4.245,0,29.341,0
uomi,27.434,,28.428,1,4.645,0,27.434,0
Kuterin,26.946,,25.704,3,4.133,0,26.946,0
Skychael,19.048,,35.997,0,5.893,0,19.048,0
mahzrunner,11.852,,40.091,1,5.25,0,11.852,0
,,,,,,,,
2024-04-04,,,,,,,,
Nonocchi,73.95,,20.527,19,3.193,0,73.95,0
Sjoe,47.407,,24.819,13,3.719,0,47.407,0
Hejsan,46.957,,24.811,6,3.944,0,46.957,0
kar72,44.954,,27.291,5,4.224,0,44.954,0
Ariabl_eyeS,35.78,,22.34,5,3.872,0,35.78,0
neoburnz,33.333,,30.204,0,4.911,0,33.333,0
Rissa,32.773,,25.997,3,4.59,0,32.773,0
moosepi,30.435,,29.657,1,4.429,0,30.435,0
Progenitor,23.478,,32.559,1,5.037,0,23.478,0
THE_USUAL,22.689,,29.406,0,5.37,0,22.689,0
Maki04,21.481,,34.575,1,5.172,0,21.481,0
Janoxx,21.101,,32.204,3,5.435,0,21.101,0
ruuka,20.87,,30.985,0,5.042,0,20.87,0
mahzrunner,18.349,,35.655,0,5.15,0,18.349,0
yasashiikumo,17.647,,32.749,1,5.381,0,17.647,0
Skychael,17.037,,35.47,1,5.174,0,17.037,0
,,,,,,,,
2024-04-06,,,,,,,,
MikasaAckerman,73.256,,20.95,14,3.095,0,73.256,0
Nonocchi,65.957,,21.481,7,3.403,0,65.957,0
SUS_DOMESTICUS,57.377,,23.908,4,3.843,0,57.377,0
ArronChu,56.934,,23.87,9,3.962,0,56.934,0
yahallonyanpasu,52.8,,22.45,8,3.697,0,52.8,0
Diukes,50.909,,24.851,7,4.161,0,50.909,0
neoburnz,49.091,,28.951,2,4.481,0,49.091,0
kar72,48.78,,25.923,7,3.75,0,48.78,0
koroshiya,48.175,,23.514,6,4.106,0,48.175,0
KaoriMaeda,45.39,,29.008,1,4.75,0,45.39,0
Sjoe,44.681,,22.116,3,3.952,0,44.681,0
Hejsan,44,,23.167,4,4.055,0,44,0
Chata,42.553,,28.044,3,4.633,0,42.553,0
revel_,39.535,,26.834,0,4.176,0,39.535,0
GabrielaRobin,36.879,,29.528,3,4.942,0,36.879,0
Chistoso,34.146,,22.369,2,4.119,0,34.146,0
MahiruShiina,31.818,,30.054,0,4.886,0,31.818,0
mkby,31.148,,29.126,0,4.868,0,31.148,0
SaikiChan,25.547,,29.762,2,4.8,0,25.547,0
Kirox,24.468,,29.387,1,4.522,0,24.468,0
PulseVorteX,24.39,,26.059,2,3.933,0,24.39,0
Alkios,22.951,,26.677,3,4.821,0,22.951,0
Maki04,21.986,,33.401,0,5.71,0,21.986,0
Progenitor,20.8,,28.963,2,4.462,0,20.8,0
ruuka,19.767,,34.755,0,5.118,0,19.767,0
Baikinman,19.672,,29.419,0,4.875,0,19.672,0
Cindergoat,19.2,,26.086,0,4.833,0,19.2,0
Tapumomo_,18.699,,29.645,0,5.043,0,18.699,0
Bommie,14.599,,39.197,0,6.2,0,14.599,0
Skychael,12.766,,34.858,2,5.083,0,12.766,0
oolli,11.818,,42.01,0,5.538,0,11.818,0
Rhummy,2.326,,44.864,0,5,0,2.326,0
,,,,,,,,
2024-04-09,,,,,,,,
MikasaAckerman,72.566,,21.936,7,3.585,0,72.566,0
Sniparook,57.143,,24.28,10,3.625,0,57.143,0
ArronChu,52.459,,23.791,6,3.547,0,52.459,0
Tsui,43.478,,23.882,2,3.9,0,43.478,0
Rissa,38.889,,25.37,1,4.143,0,38.889,0
Ariabl_eyeS,36.066,,19.793,7,3.341,0,36.066,0
neoburnz,34.783,,29.182,1,4.425,0,34.783,0
PulseVorteX,30.159,,26.234,1,4.395,0,30.159,0
Impognagrift,30.088,,25.804,2,4.265,0,30.088,0
Alkios,29.565,,29.168,1,4.412,0,29.565,0
chaabdu92,26.549,,31.425,1,5.033,0,26.549,0
moosepi,24.59,,31.004,1,4.267,0,24.59,0
Atsui_,22.124,,33.31,0,5.28,0,22.124,0
Skychael,17.213,,30.681,1,4.286,0,17.213,0
I_am_stoney,14.286,,37.728,1,5.444,0,14.286,0
Serozero,11.304,,28.305,1,4.846,0,11.304,0
,,,,,,,,
2024-04-12,,,,,,,,
Diukes,54.264,,22.7,13,3.314,0,54.264,0
Hejsan,45.098,,23.925,7,3.681,0,45.098,0
Math_,44.444,,25.258,3,3.766,0,44.444,0
Tsui,39.583,,22.984,5,3.807,0,39.583,0
Alkios,36.434,,23.022,9,3.617,0,36.434,0
Impognagrift,35.294,,25.249,11,3.815,0,35.294,0
Ariabl_eyeS,31.452,,20.2,7,3.564,0,31.452,0
Baguett,30.065,,27.99,1,4.37,0,30.065,0
GabrielaRobin,29.839,,23.52,3,4.054,0,29.839,0
JuliAless64,29.167,,28.566,1,4.286,0,29.167,0
chaabdu92,19.38,,30.436,1,4.44,0,19.38,0
THE_USUAL,17.647,,29.075,0,5.148,0,17.647,0
SaikiChan,16.129,,27.584,3,3.9,0,16.129,0
Progenitor,14.729,,30.75,2,4.316,0,14.729,0
Sheru,12.097,,30.753,0,4.6,0,12.097,0
Skychael,10.417,,37.823,2,5.133,0,10.417,0
,,,,,,,,
2024-06-03,,,,,,,,
Nonocchi,72.289,30.39,20.48,9,3.05,0,72.289,0
FORTNAYT,55.882,18.741,25.641,6,3.579,0,55.882,0
Mami,45.055,13.336,24.097,1,3.951,0,45.055,0
koroshiya,44.211,18.786,22.057,9,3.095,0,44.211,0
Math_,43.089,7.932,26.659,2,4.547,0,43.089,0
Rissa,39.216,12.676,24.542,6,3.75,0,39.216,0
neoburnz,38.793,7.248,27.818,3,4.667,0,38.793,0
GabrielaRobin,38.211,5.03,27.491,0,4.894,0,38.211,0
anonimus_opinion,37.895,9.852,27.204,2,3.972,0,37.895,0
Impognagrift,37.069,11.624,25.026,8,4.047,0,37.069,0
civiltwlight,32.967,8.542,28.46,1,4.333,0,32.967,0
JuliAless64,31.897,4.308,30.285,1,5.054,0,31.897,0
PulseVorteX,25.301,8.314,24.572,2,3.81,0,25.301,0
Zeal_Kido,25.263,5.761,25.347,1,4.292,0,25.263,0
yasashiikumo,24.39,4.321,29.951,3,4.933,0,24.39,0
AngryRabbit72,21.687,4.874,27.356,1,4.333,0,21.687,0
Maki04,20.482,4.3,31.503,0,4.471,0,20.482,0
Dry,20,4.759,29.4,0,4.368,0,20,0
Cindergoat,18.627,4.977,31.635,0,4.368,0,18.627,0
comete,16.484,2.876,32.789,0,5.067,0,16.484,0
mahzrunner,16.379,1.299,36.833,0,6,0,16.379,0
yashadox,15.385,1.656,32.982,0,5.571,0,15.385,0
Konsumenci,13.725,4.122,26.086,2,3.929,0,13.725,0
,,,,,,,,
2024-07-13,,,,,,,,
Arkana,60.131,21.439,23.24,11,3.641,0,60.131,0
yosugala,59.677,24.494,22.633,12,3.216,0,59.677,0
Diukes,55.705,20.492,24.242,12,3.542,0,55.705,0
Sjoe,47.917,14.544,25.52,8,4.058,0,47.917,0
Mami,40.94,11.587,25.879,3,4.082,0,40.94,0
Akaze,40.278,11.596,26.19,5,4.224,0,40.278,0
Legitted,34.641,7.661,31.703,1,4.679,0,34.641,0
moosepi,28.758,5.684,32.136,1,4.909,0,28.758,0
isabella,27.419,7.366,26.569,2,4.294,0,27.419,0
AnimeroD,25,6.255,27.101,2,4.419,0,25,0
Sgtvp,19.444,2.977,38.387,2,5.5,0,19.444,0
Maki04,18.792,3.859,36.017,0,4.857,0,18.792,0
SaikiChan,18.056,4.29,32.789,3,4.923,0,18.056,0
Progenitor,17.742,3.464,29.129,0,4.818,0,17.742,0
Janoxx,17.647,3.61,29.559,1,5,0,17.647,0
Skychael,17.45,3.324,30.894,0,4.962,0,17.45,0
,,,,,,,,
2024-07-13,,,,,,,,
Eryth,73.333,25.781,22.993,8,3.838,0,73.333,0
shadowpandax,65.217,20.778,21.629,4,3.856,0,65.217,0
Diukes,58.125,18.14,22.505,7,4.032,0,58.125,0
yosugala,57.724,21.843,22.042,7,3.563,0,57.724,0
SUS_DOMESTICUS,50.625,11.251,25.632,2,4.617,0,50.625,0
watashiii,42.222,9.43,26.914,1,4.737,0,42.222,0
yahallonyanpasu,40.58,14.245,18.906,3,3.714,0,40.58,0
neoburnz,38.519,7.538,28.399,0,4.962,0,38.519,0
MrWolf,31.884,9.438,22.301,4,4.182,0,31.884,0
MahiruShiina,30,5.947,27.26,0,4.938,0,30,0
Rissa,28.455,7.03,27.189,1,4.629,0,28.455,0
Zeal_Kido,28.455,8.472,22.942,2,4.229,0,28.455,0
cafezinho,21.138,3.605,29.983,0,5.154,0,21.138,0
MageFlameFreeze,17.5,2.426,35.96,0,5.5,0,17.5,0
Skychael,15.942,2.744,22.689,0,5.091,0,15.942,0
mitsorubi,13.333,1.207,38.15,0,6.278,0,13.333,0
,,,,,,,,
2024-07-18,,,,,,,,
Eryth,72.174,26.904,24.289,10,3.614,0,72.174,0
civiltwlight,43.478,10.287,28.876,3,4.46,0,43.478,0
Rissa,40.87,9.417,27.162,2,4.404,0,40.87,0
PoolNoodle,40,7.676,30.831,0,4.674,0,40,0
JuliAless64,28.696,5.302,35.43,2,4.879,0,28.696,0
PulseVorteX,25.217,5.777,29.783,2,4.586,0,25.217,0
BigSmo,23.478,3.798,36.644,1,5.074,0,23.478,0
Skychael,19.13,2.77,32.304,0,5.045,0,19.13,0
,,,,,,,,
2024-07-19,,,,,,,,
kar72,52.419,12.372,28.208,0,4.062,0,52.419,0
Rissa,47.581,13.527,26.96,5,3.814,0,47.581,0
Mami,44.203,12.119,27.901,9,4.213,0,44.203,0
Sniparook,43.704,13.679,24.088,7,3.508,0,43.704,0
civiltwlight,43.066,11.178,26.568,9,4.39,0,43.066,0
Akaze,37.681,9.636,26.513,8,4.442,0,37.681,0
ShiinaMahiru,37.226,7.423,29.889,3,4.745,0,37.226,0
Legitted,32.847,4.9,31.875,0,5.156,0,32.847,0
Alkios,31.852,8.528,26.243,2,3.884,0,31.852,0
BigSmo,21.774,5.059,38.173,3,4.519,0,21.774,0
Skychael,21.774,5.606,30.608,3,4.333,0,21.774,0
Konsumenci,21.739,3.738,30.114,1,5.3,0,21.739,0
UselessPanda,18.841,2.127,39.597,0,5.846,0,18.841,0
SaikiChan,16.296,3.629,27.586,0,4.182,0,16.296,0
Oshino_bu,16.058,2.1,35.853,1,5.909,0,16.058,0
yashadox,11.111,1.926,34.324,1,4.867,0,11.111,0
,,,,,,,,
2024-07-21,,,,,,,,
Eryth,69.863,28.911,23.243,17,3.657,0,69.863,0
yosugala,55.2,17.929,26.119,7,4.159,0,55.2,0
Diukes,52.101,17.06,23.049,4,4.242,0,52.101,0
Mami,49.618,16.878,25.75,7,4.077,0,49.618,0
asleep,48.63,10.876,26.327,2,4.69,0,48.63,0
Tsui,47.328,12.658,23.841,3,4.339,0,47.328,0
SUS_DOMESTICUS,47.2,13.427,26.131,4,4.39,0,47.2,0
watashiii,43.151,9.843,26.693,2,4.762,0,43.151,0
Alkios,41.781,9.843,26.351,1,4.59,0,41.781,0
civiltwlight,36.301,6.815,30.325,4,4.849,0,36.301,0
Legitted,32.824,5.831,30.755,2,5.023,0,32.824,0
JuliAless64,31.2,4.1,31.665,1,5.205,0,31.2,0
oh95,25.954,2.532,29.286,0,5.5,0,25.954,0
Skychael,18.4,3.618,29.939,0,5.174,0,18.4,0
UselessPanda,15.068,1.033,38.703,0,6.182,0,15.068,0
OnlyWorldDaiStar,13.014,0.688,39.578,0,6.579,0,13.014,0
,,,,,,,,
2024-07-28,,,,,,,,
Eryth,76.423,27.573,22.617,11,3.67,0,76.423,0
yosugala,68.056,21.61,23.145,6,3.888,0,68.056,0
Arkana,67.626,25.521,21.176,7,3.426,0,67.626,0
Diukes,57.627,16.622,23.542,2,4.118,0,57.627,0
kar72,52.846,13.531,28.424,4,4.354,0,52.846,0
ArronChu,52.083,15.516,23.82,4,4.08,0,52.083,0
PoolNoodle,45.763,11.261,26.627,3,4.5,0,45.763,0
Alkios,35.252,9.537,24.819,0,4.163,0,35.252,0
Legitted,26.619,4.962,33.818,0,4.838,0,26.619,0
MrWolf,22.881,5.328,26.398,1,4.963,0,22.881,0
ruuka,21.138,3.296,32.478,0,5.154,0,21.138,0
mahzrunner,17.986,3.881,35.949,1,4.72,0,17.986,0
Skychael,17.361,3,31.773,0,5.2,0,17.361,0
UselessPanda,15.254,1.437,33.693,0,6.056,0,15.254,0
Lakumix,14.634,2.32,30.557,0,5.167,0,14.634,0
Cindergoat,14.583,1.87,31.105,0,5.667,0,14.583,0
,,,,,,,,
2024-09-04,,,,,,,,
Diukes,57.658,20.619,23.456,12,3.125,0,57.658,0
Tsui,57.143,15.624,26.314,8,3.833,0,57.143,0
civiltwlight,47.5,14.103,27.979,9,3.596,0,47.5,0
gro,41.667,12.887,25.715,11,3.56,0,41.667,0
ShiinaMahiru,33.621,8.257,30.492,2,4,0,33.621,0
MrWolf,32.653,6.984,28.984,4,4.458,0,32.653,0
Alkios,31.897,7.48,28.569,2,4.081,0,31.897,0
JuliAless64,31.532,7.283,29.998,1,4.171,0,31.532,0
Progenitor,28.571,5.424,29.935,3,4.714,0,28.571,0
SaikiChan,25.862,8.4,28.728,7,3.6,0,25.862,0
MD22,25.85,3.757,37.08,2,5.184,0,25.85,0
yasashiikumo,16.379,2.681,33.887,0,4.947,0,16.379,0
Konsumenci,15,3.815,29.6,0,3.944,0,15,0
mahzrunner,15,1.909,36.535,0,5.278,0,15,0
Janoxx,14.414,3.063,25.302,1,4.375,0,14.414,0
mitsorubi,8.108,1.614,42.504,2,5.222,0,8.108,0
,,,,,,,,
2024-09-05,,,,,,,,
Diukes,55.556,14.893,27.178,10,3.68,0,55.556,0
koroshiya,50,17.115,23.901,13,3.086,0,50,0
Alkios,39.048,9.181,27.688,6,4.024,0,39.048,0
GabrielaRobin,35.938,8.067,27.997,6,4.196,0,35.938,0
JuliAless64,32.812,6.262,30.991,2,4.381,0,32.812,0
cafezinho,26.724,7.071,30.195,4,3.806,0,26.724,0
Pile,24.762,5.582,30.507,3,4.154,0,24.762,0
comete,23.276,4.005,33.164,0,4.519,0,23.276,0
MD22,22.963,3.083,37.467,0,5,0,22.963,0
Janoxx,22.963,5.296,26.389,4,4.161,0,22.963,0
doomchicken,22.857,4.218,27.178,1,4.417,0,22.857,0
Progenitor,22.222,3.32,33.147,1,4.867,0,22.222,0
SaikiChan,21.875,5.091,28.065,2,4.107,0,21.875,0
Lakumix,18.966,6.255,26.188,4,3.227,0,18.966,0
mahzrunner,18.75,3.045,31.572,1,4.75,0,18.75,0
yasashiikumo,17.143,2.611,32.723,0,4.611,0,17.143,0
,,,,,,,,
2024-09-26,,,,,,,,
Arkana,71.774,24.663,24.067,11,3.618,0,71.774,0
