Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
20,kar72,153.24,0.486,0.753,0.002,0.0,0.594,0.433,22.75,9,11,1,37.25,58.0,40.25,3.0,6.25,0.75,1.0,1.75,3.69,127.0,4,9,11,1,153.24
33,Tsui,125.96,0.387,0.614,0.001,0.0,0.592,0.2,24.0,1,4,0,14.0,56.0,20.0,6.0,4.0,2.0,1.0,1.0,3.05,114.0,1,1,4,0,125.96
37,claydoll1091,132.16,0.409,0.49,0.003,0.0,0.66,0.433,12.0,8,3,0,15.5,41.5,15.5,0.0,6.5,0.0,0.0,7.5,3.114,116.5,2,8,3,0,132.16
38,Diukes,150.33,0.476,0.628,0.002,0.0,0.666,0.513,19.0,20,8,0,32.4,38.8,42.6,10.2,7.6,1.4,2.4,2.8,2.937,113.6,5,20,8,0,150.33
41,koroshiya,161.44,0.516,0.673,0.004,0.333,0.681,0.611,22.333,8,8,0,20.333,57.333,23.333,3.0,5.0,1.333,1.0,10.0,2.199,115.333,3,8,8,0,161.44
45,LeNainDuPSG,118.37,0.359,0.509,0.001,0.0,0.534,0.3,9.0,6,4,0,30.0,27.5,39.5,9.5,5.0,0.5,3.0,0.0,3.49,113.0,2,6,4,0,118.37
46,Orfey,99.86,0.291,0.358,0.001,0.667,0.576,0.189,8.333,6,10,1,24.667,23.0,31.667,7.0,5.333,1.333,1.0,0.667,3.375,131.0,3,6,10,1,99.86
52,Thaleko,143.99,0.453,0.7,0.002,0.0,0.59,0.367,14.5,5,5,0,26.5,43.0,27.0,0.5,6.5,0.0,0.5,0.5,3.258,100.0,2,5,5,0,143.99
65,Baguett,118.8,0.36,0.512,0.001,0.0,0.602,0.233,7.0,3,2,0,18.0,24.0,19.0,1.0,4.0,0.0,1.0,0.0,3.579,82.0,1,3,2,0,118.8
66,bamboo,99.45,0.29,0.361,0.001,0.0,0.586,0.167,6.0,0,5,0,13.0,17.0,13.0,0.0,4.0,0.0,0.0,0.0,3.538,83.0,1,0,5,0,99.45
81,Pile,114.85,0.346,0.473,0.0,1.0,0.533,0.3,14.0,3,3,0,54.0,16.0,72.0,18.0,4.0,1.0,2.0,0.0,3.75,148.0,1,3,3,0,114.85
85,Animerod,99.6,0.29,0.385,0.0,1.0,0.551,0.167,8.5,6,4,1,26.0,22.5,32.5,6.5,5.5,1.5,2.5,0.0,3.16,126.0,2,6,4,1,99.6
87,Beokros,106.85,0.317,0.457,0.0,1.0,0.524,0.2,11.0,3,2,1,45.0,24.0,54.0,9.0,4.0,0.0,4.0,0.0,3.722,151.0,1,3,2,1,106.85
90,Keizan,93.29,0.267,0.233,0.001,0.0,0.689,0.167,9.0,4,2,0,16.0,12.0,17.0,1.0,9.0,0.0,0.0,0.0,2.824,120.0,1,4,2,0,93.29
91,Baikinman,87.05,0.244,0.31,0.0,0.0,0.494,0.133,3.0,1,4,0,25.0,10.0,55.0,30.0,8.0,4.0,3.0,0.0,3.6,113.0,1,1,4,0,87.05
97,chaabdu92,99.99,0.292,0.367,0.0,0.0,0.586,0.167,2.0,2,2,0,18.0,11.0,22.0,4.0,1.0,0.0,1.0,1.0,3.909,79.0,1,2,2,0,99.99
98,Comete,109.22,0.325,0.416,0.0,0.333,0.552,0.278,6.333,6,11,0,24.333,27.333,30.333,6.0,5.667,0.333,1.0,0.0,3.59,121.0,3,6,11,0,109.22
100,IrinaShidou,91.66,0.261,0.416,0.0,0.0,0.467,0.067,1.0,4,1,0,38.0,14.0,60.0,22.0,7.0,2.0,3.0,0.0,3.817,125.0,1,4,1,0,91.66
104,joey,95.72,0.276,0.28,0.002,0.0,0.652,0.167,4.0,3,2,0,15.0,8.0,20.0,5.0,7.0,0.0,3.0,0.0,2.55,82.0,1,3,2,0,95.72
112,Legitted,116.27,0.351,0.547,0.0,0.0,0.47,0.267,0.0,4,1,0,22.0,36.0,22.0,0.0,5.0,0.0,0.0,0.0,4.318,106.0,1,4,1,0,116.27
115,Saiki,94.21,0.271,0.281,0.001,0.6,0.614,0.18,6.0,17,11,0,13.2,17.6,13.4,0.2,5.4,0.0,0.2,0.6,2.932,110.0,5,17,11,0,94.21
119,Fumiii,106.26,0.315,0.437,0.0,0.0,0.545,0.2,17.0,3,2,1,46.0,20.0,46.0,0.0,4.0,0.0,0.0,0.0,3.674,151.0,1,3,2,1,106.26
121,Janoxx,95.2,0.274,0.268,0.001,2.0,0.606,0.227,3.0,15,11,1,17.0,14.2,17.8,0.8,6.2,0.2,0.2,0.0,3.208,116.0,5,15,11,1,95.2
123,Konsumenci,100.97,0.295,0.278,0.002,0.0,0.646,0.267,2.0,4,1,0,18.0,7.0,21.0,3.0,9.0,1.0,1.0,0.0,3.048,90.0,1,4,1,0,100.97
134,Jakemonkey,93.03,0.266,0.373,0.001,0.0,0.526,0.1,5.0,3,2,0,14.0,24.0,16.0,2.0,4.0,1.0,0.0,0.0,3.812,102.0,1,3,2,0,93.03
146,tapumomo,116.67,0.353,0.478,0.001,1.0,0.521,0.333,3.0,4,1,0,32.0,22.0,33.0,1.0,1.0,0.0,0.0,1.0,4.03,113.0,1,4,1,0,116.67
149,Zozo,120.49,0.367,0.478,0.001,1.0,0.553,0.367,9.0,2,3,0,28.0,26.0,33.0,5.0,2.0,0.0,2.0,2.0,4.091,113.0,1,2,3,0,120.49
150,Bommie,87.8,0.247,0.365,0.0,0.0,0.451,0.1,2.5,3,7,0,35.0,7.5,50.0,15.0,0.5,1.0,3.0,0.0,4.228,117.0,2,3,7,0,87.8
155,Unborned,85.67,0.239,0.215,0.001,4.0,0.59,0.167,0.0,3,2,0,19.0,4.0,31.0,12.0,5.0,0.0,1.0,0.0,3.71,107.0,1,3,2,0,85.67
159,legrandort,86.18,0.241,0.373,0.0,0.0,0.477,0.033,8.0,1,4,0,31.0,16.0,32.0,1.0,7.0,0.0,1.0,0.0,4.438,126.0,1,1,4,0,86.18
160,Skychael,94.89,0.273,0.297,0.001,0.333,0.602,0.178,3.667,10,7,0,16.667,18.333,19.333,2.667,4.0,1.667,0.333,0.0,2.756,116.0,3,10,7,0,94.89
164,IAmAsianNoob,77.9,0.211,0.294,0.0,0.0,0.432,0.067,4.0,2,3,0,21.0,16.0,27.0,6.0,2.0,1.0,0.0,0.0,4.333,126.0,1,2,3,0,77.9
167,Hadarios,71.41,0.187,0.15,0.0,3.0,0.487,0.133,1.0,2,3,0,12.0,5.0,21.0,9.0,4.0,1.0,0.0,0.0,3.667,113.0,1,2,3,0,71.41
170,hubcioskubcio,76.25,0.205,0.154,0.001,1.0,0.563,0.133,3.0,2,4,0,14.0,2.0,17.0,3.0,2.0,0.0,0.0,0.0,3.765,104.0,1,2,4,0,76.25
171,JustAWeirdo,70.99,0.186,0.231,0.0,0.0,0.44,0.044,1.0,5,10,0,22.0,4.0,24.667,2.667,4.0,0.667,0.667,0.333,4.517,115.667,3,5,10,0,70.99
176,Spitzell,100.01,0.292,0.417,0.0,0.0,0.54,0.133,14.0,2,4,0,32.0,13.0,32.0,0.0,2.0,0.0,0.0,0.0,4.312,108.0,1,2,4,0,100.01
181,Yolowolf75,99.21,0.289,0.389,0.001,0.0,0.537,0.167,5.0,2,3,0,31.0,11.0,42.0,11.0,3.0,1.0,2.0,0.0,3.952,108.0,1,2,3,0,99.21
205,sssthnoob,105.08,0.31,0.375,0.001,1.0,0.559,0.267,5.0,3,3,0,34.0,11.0,44.0,10.0,6.0,1.0,1.0,0.0,3.477,120.0,1,3,3,0,105.08
225,MythAndroid,78.38,0.213,0.213,0.001,1.0,0.503,0.133,5.0,2,4,0,22.0,1.0,40.0,18.0,5.0,2.0,4.0,0.0,3.5,108.0,1,2,4,0,78.38
228,Dry,117.01,0.354,0.451,0.001,0.5,0.603,0.3,11.0,7,5,0,47.5,10.0,58.5,11.0,5.5,0.0,2.5,1.0,3.68,126.5,2,7,5,0,117.01
238,Progenitor,119.5,0.363,0.491,0.001,0.667,0.592,0.289,11.0,5,12,0,35.667,25.667,38.333,2.667,6.667,0.333,0.667,1.0,3.376,121.333,3,5,12,0,119.5
241,yasashiikumo,101.88,0.299,0.453,0.0,0.0,0.536,0.111,8.667,2,13,0,21.333,25.0,24.667,3.333,5.0,0.333,1.667,0.0,3.633,102.0,3,2,13,0,101.88
253,Rhummy,80.49,0.22,0.193,0.001,0.0,0.571,0.133,2.0,0,5,0,12.0,4.0,18.0,6.0,6.0,0.0,3.0,0.0,3.167,83.0,1,0,5,0,80.49
259,Patoche49,84.69,0.236,0.292,0.0,0.25,0.491,0.125,1.5,5,15,1,24.75,11.25,26.25,1.5,2.25,0.0,0.5,0.0,4.102,121.5,4,5,15,1,84.69
260,AnotherWish,99.2,0.289,0.357,0.001,0.0,0.534,0.222,7.0,11,5,0,38.333,7.0,44.333,6.0,4.667,0.667,0.0,0.333,4.017,126.0,3,11,5,0,99.2
268,civiltwlight,112.12,0.336,0.457,0.001,0.0,0.612,0.2,19.0,3,2,0,18.0,35.0,22.0,4.0,5.0,2.0,0.0,0.0,2.818,116.0,1,3,2,0,112.12
274,Mami,135.89,0.423,0.581,0.002,0.0,0.611,0.4,14.0,4,1,0,23.0,45.0,25.0,2.0,15.0,2.0,0.0,0.0,2.6,117.0,1,4,1,0,135.89
277,chemist,93.92,0.269,0.333,0.0,1.0,0.605,0.1,8.0,1,5,0,5.0,29.0,5.0,0.0,1.0,0.0,0.0,1.0,2.4,102.0,1,1,5,0,93.92
289,Provenance,111.4,0.333,0.388,0.002,1.333,0.589,0.322,5.333,8,7,0,31.333,10.333,34.333,3.0,8.0,0.667,1.0,0.0,3.305,107.333,3,8,7,0,111.4
292,FeyFey,82.82,0.229,0.224,0.001,0.0,0.56,0.133,6.0,3,2,0,23.0,3.0,32.0,9.0,5.0,0.0,2.0,0.0,3.656,116.0,1,3,2,0,82.82
311,beautiful,110.79,0.331,0.533,0.0,0.0,0.501,0.167,5.0,3,2,0,13.0,36.0,14.0,1.0,2.0,0.0,0.0,0.0,4.071,92.0,1,3,2,0,110.79
317,Hyo,99.43,0.29,0.287,0.0,0.0,0.606,0.267,5.0,3,2,0,10.0,19.0,20.0,10.0,7.0,2.0,1.0,0.0,2.9,101.0,1,3,2,0,99.43
318,Nephirea,122.65,0.375,0.559,0.001,0.0,0.591,0.233,12.0,3,2,0,28.0,29.0,28.0,0.0,4.0,0.0,0.0,1.0,3.929,102.0,1,3,2,0,122.65
322,Catge,79.54,0.217,0.259,0.0,1.0,0.449,0.133,1.0,2,4,0,21.0,7.0,22.0,1.0,1.0,0.0,0.0,0.0,4.864,108.0,1,2,4,0,79.54
325,Swapin,92.82,0.265,0.351,0.0,0.0,0.514,0.144,3.667,9,7,0,21.333,15.667,29.0,7.667,4.0,0.0,2.0,0.333,3.718,102.0,3,9,7,0,92.82
326,pomo,106.87,0.317,0.36,0.002,0.0,0.629,0.25,7.5,7,3,0,25.5,10.0,31.0,5.5,7.0,1.5,1.0,0.5,3.14,96.5,2,7,3,0,106.87
327,Flato,98.69,0.287,0.417,0.0,1.0,0.517,0.133,7.0,1,4,0,27.0,18.0,34.0,7.0,5.0,1.0,0.0,0.0,3.824,108.0,1,1,4,0,98.69
330,_nadeshiko,108.29,0.322,0.427,0.001,0.0,0.596,0.2,3.0,3,2,0,11.0,24.0,14.0,3.0,6.0,1.0,2.0,1.0,2.929,82.0,1,3,2,0,108.29
334,2skr,89.42,0.253,0.245,0.0,1.333,0.571,0.2,3.0,12,4,0,20.0,7.333,21.333,1.333,8.0,0.333,0.667,0.0,3.339,111.667,3,12,4,0,89.42
335,xeyz,90.77,0.258,0.338,0.0,0.0,0.519,0.125,3.75,12,9,0,32.75,1.5,56.5,23.75,5.25,2.5,5.75,0.0,3.389,99.25,4,12,9,0,90.77
343,inta,97.06,0.281,0.329,0.001,0.0,0.541,0.222,2.333,8,8,0,22.333,11.0,27.333,5.0,6.667,1.0,1.667,0.0,3.507,101.0,3,8,8,0,97.06
344,Naizuri,106.15,0.314,0.364,0.001,0.0,0.56,0.3,4.0,3,2,0,27.0,12.0,31.0,4.0,3.0,0.0,1.0,0.0,3.645,107.0,1,3,2,0,106.15
348,Heleos,94.29,0.271,0.352,0.0,1.0,0.514,0.167,11.0,1,4,0,37.0,13.0,43.0,6.0,4.0,3.0,1.0,0.0,3.814,142.0,1,1,4,0,94.29
357,chommy,90.98,0.259,0.246,0.0,2.0,0.597,0.2,3.0,1,4,0,18.0,10.0,18.0,0.0,8.0,0.0,0.0,0.0,3.333,114.0,1,1,4,0,90.98
367,PotassiumF,97.66,0.283,0.317,0.002,1.0,0.56,0.233,4.0,3,3,0,24.0,14.0,27.0,3.0,2.0,0.0,2.0,0.0,3.259,120.0,1,3,3,0,97.66
376,qwecocacola,102.73,0.302,0.433,0.001,0.5,0.51,0.183,7.5,3,7,0,35.5,22.5,37.0,1.5,5.0,0.5,0.0,0.0,3.915,134.0,2,3,7,0,102.73
379,CipherKai,114.47,0.345,0.524,0.001,0.0,0.543,0.2,11.0,2,3,0,41.0,25.0,47.0,6.0,7.0,2.0,1.0,2.0,3.872,126.0,1,2,3,0,114.47
382,Shiku,75.55,0.202,0.278,0.0,0.0,0.451,0.033,5.0,1,4,0,25.0,7.0,33.0,8.0,2.0,0.0,1.0,0.0,4.788,115.0,1,1,4,0,75.55
395,LordGrond,79.97,0.218,0.231,0.0,1.667,0.534,0.1,3.667,12,4,0,22.0,6.0,23.333,1.333,5.0,0.0,0.0,0.0,3.953,121.333,3,12,4,0,79.97
400,Vr0003,85.58,0.239,0.246,0.001,3.0,0.571,0.133,9.0,2,3,0,19.0,12.0,27.0,8.0,9.0,2.0,1.0,0.0,2.852,126.0,1,2,3,0,85.58
403,AnnaYanami,91.46,0.26,0.342,0.0,0.0,0.55,0.1,5.0,4,1,0,20.0,20.0,21.0,1.0,3.0,1.0,0.0,0.0,3.619,117.0,1,4,1,0,91.46
410,FoopyPoopy,77.56,0.21,0.216,0.0,1.6,0.492,0.127,2.4,10,16,1,21.6,5.0,24.2,2.6,3.4,0.4,0.4,0.0,4.113,120.8,5,10,16,1,77.56
426,brandon_K,76.86,0.207,0.208,0.0,0.0,0.486,0.133,3.0,3,3,0,22.0,3.0,23.0,1.0,1.0,0.0,1.0,0.0,4.348,120.0,1,3,3,0,76.86
430,HaruUrara,110.8,0.331,0.434,0.001,1.0,0.559,0.267,9.5,5,5,0,26.0,23.5,28.5,2.5,4.5,0.5,0.5,0.5,3.422,114.0,2,5,5,0,110.8
464,Najeem,77.45,0.209,0.19,0.001,2.0,0.558,0.1,7.0,3,2,0,20.0,2.0,24.0,4.0,2.0,0.0,1.0,0.0,3.917,116.0,1,3,2,0,77.45
468,MisheruDesu,73.86,0.196,0.144,0.0,0.0,0.571,0.1,1.0,4,1,0,9.0,4.0,13.0,4.0,2.0,0.0,1.0,1.0,3.769,90.0,1,4,1,0,73.86
472,Whales6978,56.48,0.133,0.148,0.0,0.0,0.339,0.033,0.0,1,4,0,11.0,5.0,24.0,13.0,0.0,0.0,3.0,0.0,4.292,108.0,1,1,4,0,56.48
478,jaimeywea,89.1,0.252,0.368,0.0,1.0,0.534,0.033,8.0,1,4,0,24.0,18.0,29.0,5.0,4.0,0.0,1.0,0.0,3.759,114.0,1,1,4,0,89.1
514,zomg,62.12,0.153,0.136,0.0,0.0,0.454,0.033,0.0,4,1,0,13.0,4.0,22.0,9.0,2.0,2.0,0.0,0.0,3.818,125.0,1,4,1,0,62.12
531,tmokenc,122.99,0.376,0.5,0.001,0.0,0.559,0.367,6.0,5,1,0,36.0,22.0,38.0,2.0,1.0,0.0,0.0,0.0,3.947,116.0,1,5,1,0,122.99
