Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,,
,,,,,,,,
2024-01-16,,,,,,,,
YoshiApelao,68.696,,22.335,9,3.278,68.696,0,
PulseVorteX,64.865,,20.847,3,3.694,64.865,0,
paperyoshi10,63.063,,25.287,7,3.543,63.063,0,
vsai,55.856,,22.364,4,3.806,55.856,0,
Kiishua,53.409,,22.19,3,3.66,53.409,0,
mkby,52.941,,24.388,5,4.181,52.941,0,
Keiko,45.045,,23.96,2,3.82,45.045,0,
kar72,42.857,,25.998,2,3.911,42.857,0,
oh95,40.909,,25.744,2,4.472,40.909,0,
Edwardd,39.13,,22.431,2,3.6,39.13,0,
Rissa,38.971,,26.569,3,4.094,38.971,0,
koroshiya,37.838,,22.659,0,3.667,37.838,0,
Kenzou_Tenma,36.937,,24.807,0,4.268,36.937,0,
AnimeroD,36.19,,24.843,1,3.974,36.19,0,
Cosanostra,33.824,,25.549,2,4.587,33.824,0,
MrWolf,23.864,,27.278,0,4.667,23.864,0,
Janoxx,20.455,,23.885,1,4.611,20.455,0,
Zeal_Kido,20,,24.582,0,4.333,20,0,
JuliAless64,20,,29.579,1,4.238,20,0,
LelPop,13.913,,24.008,0,4.938,13.913,0,
NOUGATMONSTER,12.613,,27.965,0,4.929,12.613,0,
mahzrunner,11.712,,27.055,0,4.923,11.712,0,
Bui,10.435,,30.319,1,4.667,10.435,0,
,,,,,,,,
2024-01-26,,,,,,,,
comfv,79.389,,22.352,11,3.923,79.389,0,0
paperyoshi10,66.116,,25.29,5,4.35,66.116,0,0
PulseVorteX,57.639,,21.864,6,4.337,57.639,0,0
vsai,54.198,,21.052,2,4.268,54.198,0,0
mkby,53.719,,25.442,3,4.754,53.719,0,0
kar72,51.389,,24.032,1,4.622,51.389,0,0
TaylorSwift,46.774,,24.546,2,4.862,46.774,0,0
ArronChu,42.742,,24.543,1,4.887,42.742,0,0
oh95,38.017,,26.202,1,4.978,38.017,0,0
Edwardd,37.097,,21.816,1,4.87,37.097,0,0
Rissa,36.111,,25.056,5,4.269,36.111,0,0
Maki04,34.351,,28.218,1,4.889,34.351,0,0
Cosanostra,29.032,,23.596,3,5.056,29.032,0,0
Janoxx,28.244,,23.238,0,4.811,28.244,0,0
SaikiChan,25.694,,27.918,0,5.027,25.694,0,0
Konsumenci,18.182,,27.074,1,5.318,18.182,0,0
,,,,,,,,
2024-01-28,,,,,,,,
Chistoso,73.184,,22.482,3,4.527,73.184,0,0
comfv,73.077,,22.356,10,4.444,73.077,0,0
paperyoshi10,67.476,,25.204,2,5.209,67.476,0,0
MelShidou,62.136,,23.753,1,5.203,62.136,0,0
asd4321,60.44,,24.768,3,4.918,60.44,0,0
PulseVorteX,58.201,,21.493,6,4.664,58.201,0,0
vsai,54.749,,21.962,3,4.776,54.749,0,0
mkby,53.968,,22.332,0,4.961,53.968,0,0
oh95,45.146,,26.453,0,5.882,45.146,0,0
Rissa,42.857,,22.822,3,4.988,42.857,0,0
watashiii,41.27,,24.34,2,4.846,41.27,0,0
DKing20,40.777,,27.851,0,5.81,40.777,0,0
SPYAIR,40.659,,27.115,0,5.514,40.659,0,0
AnimeroD,37.989,,24.069,0,5.059,37.989,0,0
Tvaz,28.492,,25.298,0,5.745,28.492,0,0
THE_USUAL,22.527,,26.331,1,5.927,22.527,0,0
,,,,,,,,
2024-03-15,,,,,,,,
Chistoso,87.023,,21.238,11,3.798,87.023,0,0
comfv,75.41,,20.044,3,3.859,75.41,0,0
vsai,74.545,,21.147,5,4.012,74.545,0,0
Kiishua,67.308,,22.913,3,4.086,67.308,0,0
paperyoshi10,64.925,,24.599,5,4.46,64.925,0,0
mkby,61.261,,24.299,0,4.294,61.261,0,0
PulseVorteX,59.091,,21.572,0,4.4,59.091,0,0
FORTNAYT,58.559,,25.607,2,4.292,58.559,0,0
Thaleko,52.239,,25.171,0,4.871,52.239,0,0
Diukes,46.565,,22.98,0,4.541,46.565,0,0
koroshiya,41.818,,23.422,1,4.826,41.818,0,0
Chata,41.791,,26.441,0,5.321,41.791,0,0
Baguett,40.984,,25.948,1,4.6,40.984,0,0
PoolNoodle,40.458,,24.752,2,4.792,40.458,0,0
Edwardd,39.423,,22.011,2,4.439,39.423,0,0
MrWolf,32.787,,20.343,1,4.625,32.787,0,0
SaikiChan,25.225,,26.224,0,5.143,25.225,0,0
Octavio,23.077,,26.976,2,4.875,23.077,0,0
Konsumenci,22.951,,25.324,0,5.25,22.951,0,0
Shortcake,20.721,,23.421,0,4.783,20.721,0,0
Kirox,18.269,,30.045,0,5.632,18.269,0,0
AmamiyaSora,15.672,,30.472,0,6.095,15.672,0,0
Nefregar,12.727,,29.976,0,5.571,12.727,0,0
Neumann,9.924,,27.694,1,5.846,9.924,0,0
,,,,,,,,
2024-03-20,,,,,,,,
AKl,86.503,,22.048,14,3.738,86.503,0,0
Kiishua,73.711,,23.98,10,3.965,73.711,0,0
paperyoshi10,67.614,,25.524,3,4.286,67.614,0,0
mkby,56.818,,24.807,4,4.38,56.818,0,0
asd4321,54.237,,23.489,5,4.167,54.237,0,0
Edwardd,45.876,,24.557,5,4.472,45.876,0,0
OnlyWorldDaiStar,42.045,,26.208,1,4.986,42.045,0,0
Yolowolf75,39.548,,26.697,2,4.814,39.548,0,0
Rissa,37.113,,26.768,0,4.653,37.113,0,0
Zeal_Kido,28.221,,26.396,1,4.978,28.221,0,0
MrWolf,25.989,,23.695,4,4.326,25.989,0,0
cafezinho,22.599,,27.84,0,5.35,22.599,0,0
uy5gf,18.041,,28.999,0,5.743,18.041,0,0
mahzrunner,16.477,,30.152,0,5.138,16.477,0,0
,,,,,,,,
2024-04-13,,,,,,,,
MikasaAckerman,94.675,,21.633,7,3.794,94.675,0,0
AKl,85.897,,21.725,6,3.754,85.897,0,0
RAlVA,85.714,,23.586,6,3.993,85.714,0,0
Baikinman,67.442,,23.143,3,4.233,67.442,0,0
Diukes,48.837,,25.874,0,4.667,48.837,0,0
OnlyWorldDaiStar,41.667,,26.857,0,4.923,41.667,0,0
Rissa,39.053,,26.394,1,5.015,39.053,0,0
Alkios,32.051,,25.534,0,5.06,32.051,0,0
Maki04,31.977,,28.475,1,5.218,31.977,0,0
Sjoe,31.677,,25.427,0,4.961,31.677,0,0
Tvaz,31.056,,26.908,0,5.08,31.056,0,0
JuliAless64,31.056,,29.133,0,5.38,31.056,0,0
Janoxx,30.178,,26.234,0,5.314,30.178,0,0
MahiruShiina,28.488,,26.453,0,5.122,28.488,0,0
Kirox,23.077,,26.88,0,5.641,23.077,0,0
mahzrunner,12.821,,28.108,0,5.85,12.821,0,0
,,,,,,,,
2024-04-22,,,,,,,,
,,,,,,,,
RAlVA,83.2,,22.465,15,3.538,83.2,0,0
Baikinman,58.333,,22.298,9,4.048,58.333,0,0
civiltwlight,58.333,,23.996,4,4.31,58.333,0,0
mkby,53.691,,22.65,1,4.4,53.691,0,0
kar72,49.275,,25.633,3,4.279,49.275,0,0
OnlyWorldDaiStar,48,,26.379,2,4.467,48,0,0
Diukes,43.478,,24.218,2,4.3,43.478,0,0
GabrielaRobin,42.953,,23.622,3,4.578,42.953,0,0
Kenzou_Tenma,42.754,,22.623,1,4.22,42.754,0,0
Alkios,37.6,,25.369,0,4.681,37.6,0,0
Zeal_Kido,27.778,,25.422,1,4.875,27.778,0,0
Maki04,25.503,,27.508,0,5.079,25.503,0,0
Konsumenci,19.463,,23.167,1,4.966,19.463,0,0
Kirox,14.493,,29.057,0,5.1,14.493,0,0
MD22,13.194,,32.91,0,5.947,13.194,0,0
mitsorubi,1.6,,26.764,0,6,1.6,0,0
,,,,,,,,
2024-04-27,,,,,,,,
AKl,86.26,,21.637,15,3.549,86.26,0,0
RAlVA,81.395,,20.243,6,3.5,81.395,0,0
Hejsan,75.524,,21.634,6,3.769,75.524,0,0
Baikinman,67.717,,23.63,5,4,67.717,0,0
vsai,66.667,,22.418,8,3.583,66.667,0,0
civiltwlight,65.833,,25.105,3,4.165,65.833,0,0
FORTNAYT,60.484,,25.647,6,4.347,60.484,0,0
PulseVorteX,58.14,,21.142,1,3.84,58.14,0,0
Baguett,51.88,,26.692,1,4.928,51.88,0,0
OnlyWorldDaiStar,46.617,,25.958,0,5.097,46.617,0,0
kar72,46.457,,26.368,3,4.542,46.457,0,0
oh95,44.355,,27.017,2,4.727,44.355,0,0
PoolNoodle,41.667,,25.067,1,4.244,41.667,0,0
Keiko,40.833,,26.486,4,4.633,40.833,0,0
Kenzou_Tenma,39.86,,23.966,2,4.404,39.86,0,0
Chata,39.86,,25.054,0,4.789,39.86,0,0
Sniparook,39.167,,25.577,4,4.638,39.167,0,0
Maki04,38.168,,27.695,0,4.74,38.168,0,0
Himemiya,37.594,,26.521,4,5.2,37.594,0,0
Alkios,36.09,,26.279,2,5.208,36.09,0,0
JuliAless64,32.824,,27.55,0,5.163,32.824,0,0
Rissa,32.407,,23.542,1,3.971,32.407,0,0
Janoxx,26.772,,22.983,0,4.824,26.772,0,0
SaikiChan,26.613,,27.708,0,4.939,26.613,0,0
Legitted,22.581,,26.582,0,5.357,22.581,0,0
icefeed2,18.898,,29.515,0,5.208,18.898,0,0
Konsumenci,18.605,,26.016,0,4.938,18.605,0,0
Progenitor,16.794,,32.493,0,5.5,16.794,0,0
mahzrunner,12.037,,29.273,0,5,12.037,0,0
mitsorubi,9.79,,25.336,0,5.929,9.79,0,0
PandoraSC,9.167,,32.768,0,6.091,9.167,0,0
MD22,8.14,,30.469,0,5.714,8.14,0,0
,,,,,,,,
2024-05-03,,,,,,,,
vsai,75.316,,22.51,13,4.143,75.316,0,0
paperyoshi10,65,,26.429,7,4.615,65,0,0
FORTNAYT,59.603,,25.575,4,4.678,59.603,0,0
Baguett,52.5,,26.975,6,4.917,52.5,0,0
GabrielaRobin,51.899,,25.237,1,5.012,51.899,0,0
kar72,51.351,,25.134,2,4.716,51.351,0,0
Keiko,43.784,,25.678,1,4.852,43.784,0,0
oh95,43.046,,25.628,3,4.938,43.046,0,0
erjeky123,41.722,,26.534,0,5.381,41.722,0,0
Maki04,34.375,,30.257,0,5.564,34.375,0,0
Janoxx,34.177,,25.939,2,5.056,34.177,0,0
SaikiChan,27.215,,26.028,1,5.326,27.215,0,0
Konsumenci,26.875,,29.92,0,5.953,26.875,0,0
cafezinho,21.192,,28.819,0,5.656,21.192,0,0
mitsorubi,9.189,,27.488,0,5.765,9.189,0,0
,,,,,,,,
,,,,,,,,
Baikinman,66.851,,23.182,11,3.694,66.851,0,0
vsai,66.165,,23.968,11,3.614,66.165,0,0
Mami,47.368,,25.535,1,4.175,47.368,0,0
AnimeroD,40.602,,27.322,0,4.296,40.602,0,0
OnlyWorldDaiStar,40.331,,25.792,0,4.37,40.331,0,0
Maki04,30.387,,27.546,0,4.764,30.387,0,0
mahzrunner,19.337,,27.268,1,4.714,19.337,0,0
madcuzbad,16.541,,31.262,1,4.909,16.541,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,71.528,14.464,25.366,2,4.272,71.528,0,0
Baikinman,67.763,15.914,23.675,4,4.029,67.763,0,0
yahallonyanpasu,63.03,16.897,22.742,8,3.865,63.03,0,0
PulseVorteX,61.212,13.07,22.591,4,4.168,61.212,0,0
FORTNAYT,60.51,11.647,25.858,2,4.263,60.51,0,0
OnlyWorldDaiStar,50.694,5.581,26.926,0,4.808,50.694,0,0
Yolowolf75,49.045,8.67,26.584,5,4.403,49.045,0,0
koroshiya,45.395,8.2,23.395,4,4.42,45.395,0,0
Maki04,43.75,6.036,27.129,1,4.762,43.75,0,0
MrWolf,33.121,7.155,23.01,3,4.212,33.121,0,0
Rissa,32.895,2.859,27.117,0,4.98,32.895,0,0
SaikiChan,31.515,3.131,25.844,2,4.865,31.515,0,0
mahzrunner,19.745,0.783,26.739,0,5.516,19.745,0,0
Aranha,15.972,1.651,28.917,1,5.391,15.972,0,0
Skychael,15.132,2.104,26.864,0,5.174,15.132,0,0
mitsorubi,13.939,0.696,25.38,0,5.435,13.939,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,67.361,15.82,33.544,5,4.216,67.361,0,0
PulseVorteX,53.947,14.511,32.841,9,4.268,53.947,0,0
GabrielaRobin,51.825,13.867,30.979,7,4.099,51.825,0,0
OnlyWorldDaiStar,50.345,9.271,36.11,6,4.603,50.345,0,0
Alkios,49.655,7.439,35.28,1,4.847,49.655,0,0
Maki04,46.711,6.408,40.683,1,5.028,46.711,0,0
oh95,45.833,7.603,34.637,1,4.712,45.833,0,0
Edwardd,42.069,8.106,33.471,3,4.689,42.069,0,0
Pile,34.307,8.226,31.255,4,4.34,34.307,0,0
Kirox,30.263,2.277,49.399,0,5.717,30.263,0,0
MoltenAshes,29.927,3.702,38.697,0,5.171,29.927,0,0
SaikiChan,29.167,2.627,41.345,0,5.452,29.167,0,0
Janoxx,28.947,4.608,38.26,2,5.159,28.947,0,0
mahzrunner,20.139,2.572,43.483,0,5.448,20.139,0,0
yasashiikumo,17.518,0.764,38.634,0,6,17.518,0,0
,,,,,,,,
,,,,,,,,
Baikinman,68.519,24.581,22.631,10,2.689,68.519,0,0
isabella,63.248,21.086,22.524,11,3.027,63.248,0,0
ZephaniJong,40.517,11.794,25.492,9,3.511,40.517,0,0
Baguett,39.535,11.109,24.695,5,3.412,39.535,0,0
oh95,38.889,11.801,28.59,5,3.262,38.889,0,0
MrWolf,37.097,12.119,20.481,9,3.174,37.097,0,0
comete,35.897,8.729,25.212,2,3.738,35.897,0,0
Maki04,33.871,9.14,25.693,3,3.548,33.871,0,0
Rissa,31.897,7.379,26.343,2,3.946,31.897,0,0
Janoxx,31.452,8.56,23.444,2,3.462,31.452,0,0
Kenzou_Tenma,30.233,7.848,23.519,2,3.538,30.233,0,0
ShiinaMahiru,24.031,6.742,26.647,5,3.548,24.031,0,0
RealAnimeWatcher,22.222,5.211,30.514,0,3.75,22.222,0,0
Galvion4k,19.444,5.058,26.018,1,3.429,19.444,0,0
SaikiChan,18.966,3.693,25.697,0,4.273,18.966,0,0
Konsumenci,18.803,3.836,24.221,1,4.182,18.803,0,0
lilycat,18.519,5.568,23.511,2,3.25,18.519,0,0
SakuraMitsutsuki,17.593,3.85,29.457,0,3.947,17.593,0,0
Serozero,12.963,2.375,29.609,1,4.5,12.963,0,0
mahzrunner,12.903,1.934,27.954,0,4.688,12.903,0,0
mitsorubi,12.821,2.942,25.779,1,4.067,12.821,0,0
AnotherWish,9.483,1.223,27.26,0,5,9.483,0,0
miiarad,6.977,1.034,31.942,0,4.667,6.977,0,0
MD22,5.556,1.241,20.792,1,4.167,5.556,0,0
,,,,,,,,
,,,,,,,,
AKl,83.486,28.089,23.793,12,3.571,83.486,0,0
civiltwlight,65.574,19.611,24.256,6,3.812,65.574,0,0
Baikinman,63.971,22.215,23.26,11,3.506,63.971,0,0
Alkios,48.201,12.78,25.063,4,4.104,48.201,0,0
ZephaniJong,48.175,12.961,27.242,4,4,48.175,0,0
oh95,47.706,10.728,26.954,1,4.346,47.706,0,0
PoolNoodle,43.925,11.953,26.776,5,4.213,43.925,0,0
PulseVorteX,43.066,12.459,24.332,6,3.915,43.066,0,0
GabrielaRobin,42.056,10.066,26.497,3,4.378,42.056,0,0
chaabdu92,37.41,8.566,27.873,1,4.481,37.41,0,0
Maki04,36.885,9.052,26.265,3,4.356,36.885,0,0
Janoxx,35.971,9.342,24.993,1,4.18,35.971,0,0
JuliAless64,28.676,6.735,27.108,2,4.436,28.676,0,0
KaedeDayo,28.676,5.616,29.999,1,4.846,28.676,0,0
cafezinho,27.338,5.956,28.805,1,4.711,27.338,0,0
ShiinaMahiru,27.049,4.427,29.225,0,4.939,27.049,0,0
THE_USUAL,25.41,5.211,27.169,1,4.774,25.41,0,0
MrWolf,24.818,7.439,23.293,4,3.941,24.818,0,0
Konsumenci,21.495,3.701,27.732,0,5.087,21.495,0,0
lilycat,20.588,4.5,28.95,2,4.857,20.588,0,0
SaikiChan,20.183,3.934,26.945,1,4.682,20.183,0,0
beautiful,19.626,2.7,30.605,0,5.381,19.626,0,0
mitsorubi,11.927,1.519,29.46,0,5.308,11.927,0,0
AnotherWish,10.219,1.985,26.045,0,4.571,10.219,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,70.635,22.517,24.325,11,3.18,70.635,0,0
NyanFey,68.627,22.714,23.609,9,3.086,68.627,0,0
Baikinman,68.103,22.236,23.202,15,3.329,68.103,0,0
YuriMeguri,48.864,15.697,24.63,6,3.163,48.864,0,0
ZephaniJong,47.619,12.093,27.114,1,3.7,47.619,0,0
Alzheimers,46.429,15.653,24.146,10,3.282,46.429,0,0
ruuka,37.302,9.136,26.674,2,3.723,37.302,0,0
neoburnz,36.275,8.436,26.976,1,3.865,36.275,0,0
ChrisLefko,35.897,9.271,25.89,1,3.679,35.897,0,0
ShiinaMahiru,35.345,7.197,27.067,1,4.293,35.345,0,0
Zeal_Kido,32.051,7.733,25.947,1,3.92,32.051,0,0
cafezinho,25,3.181,28.402,0,5.103,25,0,0
provenance,24.603,5.357,25.395,0,3.968,24.603,0,0
FeyFey,24.51,5.922,25.815,2,3.88,24.51,0,0
LelPop,21.795,4.169,25.65,0,4.471,21.795,0,0
lilycat,21.429,3.571,28.376,0,4.611,21.429,0,0
Aranha,16.667,2.56,32.655,0,4.714,16.667,0,0
Janoxx,15.909,2.831,26.491,0,4.357,15.909,0,0
eaJ,15.385,3.526,30.002,0,4.167,15.385,0,0
MD22,13.793,1.51,26.308,0,5.375,13.793,0,0
xeyz,11.364,1.883,34.188,0,4.5,11.364,0,0
Oshino_bu,5.682,0.682,30.079,0,5.2,5.682,0,0
PleaseTy,5.556,0.885,29.782,0,4.429,5.556,0,0
Meowstic2121,2.941,0.438,30.854,0,4.667,2.941,0,0
,,,,,,,,
,,,,,,,,
AKl,85.95,31.944,22.464,29,2.856,85.95,0,0
Maki04,49.123,10.042,27.278,1,4.161,49.123,0,0
comete,48.214,13.124,25.639,5,3.63,48.214,0,0
GabrielaRobin,43.82,12.154,25.477,4,3.564,43.82,0,0
oh95,42.593,10.237,28.012,5,4.065,42.593,0,0
OnlyWorldDaiStar,42.105,8.507,26.463,3,4.271,42.105,0,0
Baguett,41.667,9.692,26.561,2,3.956,41.667,0,0
ZephaniJong,40.741,9.313,27.181,3,4.114,40.741,0,0
gro,39.815,12.806,22.51,9,3.349,39.815,0,0
Alkios,37.5,9.293,25.555,3,3.857,37.5,0,0
Chata,31.405,6.316,25.976,0,4.026,31.405,0,0
aimyon,29.63,4.841,28.778,0,4.562,29.63,0,0
SaikiChan,28.704,7.243,27.203,4,4.065,28.704,0,0
ShiinaMahiru,25.843,4.632,28.051,0,4.348,25.843,0,0
lilycat,25.439,4.911,26.7,2,4.483,25.439,0,0
provenance,24.107,5.035,26.769,2,4.296,24.107,0,0
denero,23.148,4.869,29.394,2,4.28,23.148,0,0
Neumann,22.321,5.226,29.224,4,4.16,22.321,0,0
mahzrunner,21.93,4.663,27.611,2,4.28,21.93,0,0
Swapin,17.355,2.68,29.61,0,4.619,17.355,0,0
Kirox,15.73,2.729,30.339,0,4.571,15.73,0,0
MythAndroid,10.744,1.768,27.562,0,4.462,10.744,0,0
AnotherWish,10.185,1.182,30.08,0,5.455,10.185,0,0
yasashiikumo,8.989,1.527,28.124,0,4.375,8.989,0,0
,,,,,,,,
,,,,,,,,
civiltwlight,74.737,22.717,24.918,8,3.465,74.737,0,0
Baikinman,66.304,20.991,23.459,11,3.344,66.304,0,0
comfv,46.067,14.694,23.549,6,3.39,46.067,0,0
Math_,45.161,11.788,25.284,3,3.679,45.161,0,0
FaLiLV,44.231,12.737,24.637,5,3.457,44.231,0,0
Yolowolf75,43.478,10.536,26.206,2,3.95,43.478,0,0
Rissa,37.895,8.883,25.635,2,4.056,37.895,0,0
Anoru_,37.5,9.869,26.158,2,3.641,37.5,0,0
OnlyWorldDaiStar,37.079,9.832,25.867,3,3.879,37.079,0,0
AnimeroD,34,8.207,26.133,2,3.971,34,0,0
Maki04,29.839,5.254,27.834,0,4.324,29.839,0,0
lilycat,29.032,7.595,23.6,5,3.861,29.032,0,0
aimyon,27.368,4.306,29.356,0,4.846,27.368,0,0
SaikiChan,24.719,7.468,24.746,5,3.773,24.719,0,0
Janoxx,23,6.408,23.25,2,3.696,23,0,0
oh95,23,4.665,28.973,1,4.348,23,0,0
THE_USUAL,19.565,3.494,25.562,1,4.667,19.565,0,0
Swapin,19.101,3.571,29.21,0,4.529,19.101,0,0
Poppysr,19,4.598,29.514,1,3.789,19,0,0
Neumann,18.947,2.254,30.183,0,5.333,18.947,0,0
MD22,17.391,2.888,26.993,1,4.75,17.391,0,0
rorf,13.462,2.578,24.935,1,4.429,13.462,0,0
yasashiikumo,11.29,2.194,26.203,1,4.429,11.29,0,0
chommy,2.885,0.648,23.871,0,4,2.885,0,0
,,,,,,,,
0-100 diff,,,,,,,,
Baikinman,75.397,20.671,32.227,21,3.347,75.397,0,0
paperyoshi10,69.231,15.184,33.288,15,3.922,69.231,0,0
PoolNoodle,47.794,8.394,37.492,5,4.462,47.794,0,0
AnimeroD,43.056,8.259,38.547,8,4.29,43.056,0,0
Edwardd,41.667,9.852,35.35,12,3.917,41.667,0,0
KaedeDayo,36.923,3.334,42.076,0,5.375,36.923,0,0
provenance,32.54,4.92,39.733,1,4.732,32.54,0,0
MD22,31.944,4.31,44.462,1,4.935,31.944,0,0
Zeal_Kido,29.412,3.882,43.162,0,5.05,29.412,0,0
I_am_stoney,28.462,2.285,43.675,1,5.703,28.462,0,0
LiljaKatsuragi,26.471,2.755,47.422,0,5.472,26.471,0,0
xeyz,25,2.444,49.121,0,5.361,25,0,0
Serozero,24.603,3.397,47.968,2,5.097,24.603,0,0
Homebad,14.615,0.911,51.769,0,6.211,14.615,0,0
Meowstic2121,8.73,0.321,66.571,0,6.909,8.73,0,0
,,,,,,,,
2025-03-12,,,,,,,,
AKl,83.761,29.726,23.56,24,2.745,83.761,0,0
comfv,81.818,25.721,24.524,12,3.069,81.818,0,0
YuriMeguri,78.495,23.981,24.315,5,2.973,78.495,0,0
Baikinman,61.856,18.597,25.683,10,3.267,61.856,0,0
FaLiLV,51.2,13.733,26.272,8,3.5,51.2,0,0
oh95,46.429,9.414,28.082,1,4.108,46.429,0,0
Yolowolf75,46.218,8.934,28.865,2,4.109,46.218,0,0
hmsuis,40.714,7.632,28.708,3,4.368,40.714,0,0
Tvaz,38.636,7.153,26.794,0,4.118,38.636,0,0
753,36.697,9.146,26.859,3,3.65,36.697,0,0
AnimeroD,36.697,8.904,26.197,2,3.675,36.697,0,0
Maki04,35.2,7.219,28.362,3,4.045,35.2,0,0
Kenzou_Tenma,34.409,8.394,25.789,1,3.469,34.409,0,0
Zeal_Kido,32.773,6.817,26.727,2,4.077,32.773,0,0
JuliAless64,29.915,5.357,30.565,0,4.086,29.915,0,0
Poppysr,28.409,4.182,28.917,0,4.52,28.409,0,0
provenance,26.429,5.013,27.88,2,4.514,26.429,0,0
Swapin,24.37,3.877,30.936,2,4.724,24.37,0,0
SaikiChan,23.711,5.09,28.31,2,4.174,23.711,0,0
mahzrunner,21.429,2.929,29.538,1,4.933,21.429,0,0
Jakemonkey,20.168,2.53,31.267,0,4.958,20.168,0,0
Janoxx,19.266,3.786,25.58,0,4.143,19.266,0,0
Progenitor,18.557,2.823,31.702,0,4.833,18.557,0,0
ss_r_white_pony,17.526,3.442,27.127,1,4.412,17.526,0,0
Flato,16.514,2.631,30.537,0,4.722,16.514,0,0
Gokozinho,16.129,3.189,28.048,0,4.067,16.129,0,0
miiarad,16,2.565,31.022,0,4.45,16,0,0
Serozero,14.4,3.319,26.024,2,3.944,14.4,0,0
Naizuri,11.966,1.455,33.844,0,5.071,11.966,0,0
mitsorubi,11.364,1.344,32.651,0,5.2,11.364,0,0
legrandort,7.527,1.018,29.214,0,4.714,7.527,0,0
Rhummy,5.128,1.452,35.11,1,3.667,5.128,0,0
,,,,,,,,
2025-04-15,,,,,,,,
Miki_Hoshii,79.231,20.599,28.166,6,4.117,79.231,0,0
BeakoLovely,75.61,24.61,28.395,11,3.919,75.61,0,0
Hejsan,73.984,20.937,26.207,9,4,73.984,0,0
iryd,71.429,17.585,26.652,5,4.211,71.429,0,0
Baikinman,69.474,24.431,24.923,10,3.561,69.474,0,0
yahallonyanpasu,65.873,16.282,25.879,3,4.193,65.873,0,0
Thaleko,55.725,11.521,29.105,1,4.685,55.725,0,0
FaLiLV,55.67,16.664,26.803,6,3.722,55.67,0,0
Anoru_,54.206,11.778,30.766,3,4.483,54.206,0,0
comete,52.672,11.971,29.836,6,4.609,52.672,0,0
kar72,50.515,10.807,29.073,0,4.224,50.515,0,0
_nadeshiko,49.533,11.9,29.951,2,4.302,49.533,0,0
